tweets,id,len,date,source,likes,retweets,polarity,subjectivity
Müller should start over Coutinho today.,1185528884504211456,40,2019-10-19 12:11:26,Twitter for Android,2,0,0.0,0.0
@fine_firmino Dub,1185528231941685248,17,2019-10-19 12:08:51,Twitter for Android,1,0,0.0,0.0
"@LukasMl70304967 Idk, bayern or greuther fürth",1185527012649324544,46,2019-10-19 12:04:00,Twitter for Android,1,0,0.0,0.0
"Take this test or you like k-pop

https://t.co/px4omxU3Di",1185526388977291264,57,2019-10-19 12:01:31,Twitter for Android,3,0,0.0,0.0
@FCBayern https://t.co/EVGHDcdWCf,1185521907837407232,33,2019-10-19 11:43:43,Twitter for Android,3,0,0.0,0.0
@Lewag0atski Fb merchant,1185521264506613761,24,2019-10-19 11:41:10,Twitter for Android,1,0,0.0,0.0
@FruitfulFirmino Ok,1185520540192296962,19,2019-10-19 11:38:17,Twitter for Android,1,0,0.5,0.5
@Lewag0atski Gm fb merchant,1185520442188226560,27,2019-10-19 11:37:53,Twitter for Android,0,0,0.0,0.0
@FruitfulFirmino No i didnt?,1185520170908950529,28,2019-10-19 11:36:49,Twitter for Android,1,0,0.0,0.0
@TomSFitz Just wanting to hit 1k,1185520117423267840,32,2019-10-19 11:36:36,Twitter for Android,1,0,0.0,0.0
@TomSFitz Obsessed with who?,1185519785691496448,28,2019-10-19 11:35:17,Twitter for Android,1,0,-0.5,1.0
"Top 5 players itw right now:

1. Lewandowski 
2. Messi
3. Neymar 
4. KDB
5. Mané",1185519682482294784,80,2019-10-19 11:34:52,Twitter for Android,37,0,0.39,0.52
@ClinicalCoco Np bro ❤,1185519307087929349,22,2019-10-19 11:33:23,Twitter for Android,2,0,0.0,0.0
@Kristiaaaan11 Bayern and Schalke,1185519262208839680,33,2019-10-19 11:33:12,Twitter for Android,1,0,0.0,0.0
@CFC_Jxck Arsenal and spurs,1185519146286616576,27,2019-10-19 11:32:45,Twitter for Android,1,0,0.0,0.0
@mrbavary 3/5,1185516907400695810,13,2019-10-19 11:23:51,Twitter for Android,0,0,0.0,0.0
@EssamAmbrose Dortmund,1185516788538396672,22,2019-10-19 11:23:22,Twitter for Android,1,0,0.0,0.0
@Battenburg15 Real Madrid,1185516663342387200,25,2019-10-19 11:22:53,Twitter for Android,0,0,0.2,0.3
@mrbavary Dortmund,1185516626034286592,18,2019-10-19 11:22:44,Twitter for Android,0,0,0.0,0.0
"@navvidu Dortmund, real, liverpool",1185514842154852353,34,2019-10-19 11:15:38,Twitter for Android,0,0,0.2,0.3
@garter_treue Real madrid,1185514071111671809,25,2019-10-19 11:12:34,Twitter for Android,0,0,0.2,0.3
@garter_treue What team do you support,1185513922968936448,38,2019-10-19 11:11:59,Twitter for Android,0,0,0.0,0.0
@DerDragon7 What about Scheiße BVB?,1185513769893535744,35,2019-10-19 11:11:23,Twitter for Android,1,0,0.0,0.0
@DerDragon7 Why isn't it your favorite,1185513201364033536,38,2019-10-19 11:09:07,Twitter for Android,1,0,0.5,1.0
@DerDragon7 Stern des Südens,1185513010607087618,28,2019-10-19 11:08:22,Twitter for Android,0,0,0.0,0.0
"Happy birthday, @ClinicalCoco ❤ https://t.co/5kcu9O0yw0",1185512860371357697,55,2019-10-19 11:07:46,Twitter for Android,8,0,0.8,1.0
@nadim_itani Real madrid,1185512269477793792,24,2019-10-19 11:05:25,Twitter for Android,0,0,0.2,0.3
@mike_rl9 L imo,1185509788047892480,15,2019-10-19 10:55:33,Twitter for Android,0,0,0.0,0.0
@Sule01342 Dortmund,1185509449747836928,19,2019-10-19 10:54:13,Twitter for Android,0,0,0.0,0.0
@mike_rl9 Did u rt my pinned?,1185509401559556096,29,2019-10-19 10:54:01,Twitter for Android,1,0,0.0,0.0
@fine_firmino https://t.co/SW2RlJsKdk,1185509131962277888,37,2019-10-19 10:52:57,Twitter for Android,1,0,0.0,0.0
@mike_rl9 Yeah i saw,1185508972788359168,20,2019-10-19 10:52:19,Twitter for Android,1,0,0.0,0.0
@fine_firmino Why,1185508903427158016,17,2019-10-19 10:52:02,Twitter for Android,0,0,0.0,0.0
Just want another tweet that gets 1k+ likes,1185508590515343368,43,2019-10-19 10:50:48,Twitter for Android,11,2,0.0,0.0
@SuckerForBayern Dortmund or real,1185507812006387712,33,2019-10-19 10:47:42,Twitter for Android,1,0,0.2,0.3
@WonderflWilf Derby county?,1185507606724562946,27,2019-10-19 10:46:53,Twitter for Android,0,0,0.0,0.0
"@mike_rl9 City 
Real
Dortmund",1185507147725049856,29,2019-10-19 10:45:04,Twitter for Android,1,0,0.2,0.3
@Arp_Goat361 .Madrid,1185507065747427328,20,2019-10-19 10:44:44,Twitter for Android,1,0,0.0,0.0
@WonderflWilf Chelsea?,1185506995945857024,22,2019-10-19 10:44:28,Twitter for Android,0,0,0.0,0.0
@weinried Dortmund,1185506811857780741,18,2019-10-19 10:43:44,Twitter for Android,1,0,0.0,0.0
@CanGHG Bremen?,1185506774075543552,15,2019-10-19 10:43:35,Twitter for Android,1,0,0.0,0.0
@_ARP_SZN City?,1185506362580705280,15,2019-10-19 10:41:57,Twitter for Android,1,0,0.0,0.0
@nufcflynn Sunderland,1185506198700875776,21,2019-10-19 10:41:18,Twitter for Android,1,0,0.0,0.0
@_ARP_SZN Madrid,1185504525425098752,16,2019-10-19 10:34:39,Twitter for Android,1,0,0.0,0.0
@bavarianisation My pic and dortmund or madrid,1185498408511049728,46,2019-10-19 10:10:20,Twitter for Android,0,0,0.0,0.0
@nufcflynn 0-6 Newcastle,1185498239220494336,24,2019-10-19 10:09:40,Twitter for Android,2,0,0.0,0.0
@CrisianuRunaldu Madrid and Dortmund,1185498137206628354,36,2019-10-19 10:09:16,Twitter for Android,0,0,0.0,0.0
@FCBNiklas Madrid and Dortmund,1185498052687253504,30,2019-10-19 10:08:55,Twitter for Android,1,0,0.0,0.0
@cfcnils Nah i do the same with spurs and arsenal fans,1185496728943894528,54,2019-10-19 10:03:40,Twitter for Android,1,0,0.0,0.12
@hummelsino Bayern and Schalke,1185496335295963136,30,2019-10-19 10:02:06,Twitter for Android,2,0,0.0,0.0
"@cfcnils I don't hate Chelsea, only their fans who comment the drogba gif",1185496263959220225,73,2019-10-19 10:01:49,Twitter for Android,1,0,-0.4,0.95
@ILoveM3rcy Madrid,1185496101358571522,18,2019-10-19 10:01:10,Twitter for Android,0,0,0.0,0.0
@TheCyrox Dortmund,1185495884617961472,18,2019-10-19 10:00:18,Twitter for Android,1,0,0.0,0.0
@PrimeSerge Dortmund,1185495833019588613,20,2019-10-19 10:00:06,Twitter for Android,1,0,0.0,0.0
@qkakakakakakak 4/5,1185495747405504512,19,2019-10-19 09:59:46,Twitter for Android,1,0,0.0,0.0
@Pat_BvB09 3/5,1185495599241674752,14,2019-10-19 09:59:10,Twitter for Android,0,0,0.0,0.0
@Pat_BvB09 Bayern and Schalke,1185495447693156353,29,2019-10-19 09:58:34,Twitter for Android,0,0,0.0,0.0
@Kingcoman8 Dortmund,1185495244961452034,20,2019-10-19 09:57:46,Twitter for Android,1,0,0.0,0.0
