username,mentions_received
@DerDragon7,5
@cfcnils,4
@mike,4
@ForeverMCity,4
@fine,3
@SxrgioSzn,3
@garter,2
@Pat,2
@ICTbayern185,2
@nufcflynn,2
@CFCEllis,2
@WonderflWilf,2
@Hugo6292,2
@myre,2
@FruitfulFirmino,2
@mrbavary,2
@SuleSZN,2
@Lewag0atski,2
@FCBayernUS,2
@ClinicalCoco,2
@TomSFitz,2
@PhonziePhenom19,2
@SliceOfYams,1
@ApoorvMathur15,1
@paulepanter33,1
@x42jonas,1
@nathbapi9,1
@Kimmich,1
@ftbl,1
@RoflderEchte,1
@MarcelFCB,1
@JosephDundas,1
@PRIMELampard,1
@Lewxgoalski,1
@Mark,1
@ILoveM3rcy,1
@Kingcoman8,1
@qkakakakakakak,1
@FCBayern,1
@Kristiaaaan11,1
@CFC,1
@EssamAmbrose,1
@Battenburg15,1
@navvidu,1
@nadim,1
@Sule01342,1
@SuckerForBayern,1
@Arp,1
@weinried,1
@CanGHG,1
@bavarianisation,1
@CrisianuRunaldu,1
@FCBNiklas,1
@hummelsino,1
@LukasMl70304967,1
@TheCyrox,1
@PrimeSerge,1
@BayernMentality,1
