tweets,id,len,date,source,likes,retweets,polarity,subjectivity
"@LorenzoMunisami Awesome, thanks. Not surprised at all by those numbers, but was curious to see it. Cheers!",1185528060965261323,107,2019-10-19 12:08:10,Twitter for iPhone,1,0,0.26,0.78
"Anyone know if there are websites that break down possession by each third of the pitch?

Curious to see how much o… https://t.co/aRBvDr3WoS",1185525455144796160,140,2019-10-19 11:57:49,Twitter for iPhone,29,0,-0.01,0.37
"@andywest01 Because the system is so spread out and not conducive to intricate link up play. 

So frequently the on… https://t.co/Fxx1B3wYmG",1185524127576272897,140,2019-10-19 11:52:32,Twitter for iPhone,6,0,0.1,0.3
@captainkoke ?,1185522595136970752,14,2019-10-19 11:46:27,Twitter for iPhone,0,0,0.0,0.0
@stormswrld Lmao 😂 luckily this time it doesn’t change anything about the tweet. The system isn’t getting the best… https://t.co/JzD5lRrjRj,1185514880591450118,139,2019-10-19 11:15:47,Twitter for iPhone,4,0,0.64,0.71
"Been a few times where it seemed Valverde had learned from his mistakes, but first game back from the international… https://t.co/wsG9LR7dg7",1185513848507392001,140,2019-10-19 11:11:41,Twitter for iPhone,149,28,-0.07,0.17
@SavEliiz2014 Erm what? Henry wouldn’t have sniffed the Ballon d’Or with Messi and Ronaldo around. Messi was by far… https://t.co/PPVAe0aung,1185240583058677762,140,2019-10-18 17:05:50,Twitter for iPhone,4,0,0.1,1.0
"@maradonnyvdb Yep, awful management.",1185226063389048834,36,2019-10-18 16:08:08,Twitter for iPhone,0,0,-1.0,1.0
@HernanJFC Agree to disagree 😎,1185225796681641994,30,2019-10-18 16:07:05,Twitter for iPhone,0,0,0.0,0.0
"@AlexGoldberg_ Met him back in the day in Santos when I was a kid and he was a lovely guy, very nice to all the fan… https://t.co/lV2NH7hIur",1185225620625788928,140,2019-10-18 16:06:23,Twitter for iPhone,47,5,0.43,0.58
@HernanJFC Nedved was certainly class but Henry was robbed. Should’ve easily been Henry who won it that year.,1185224504462761985,109,2019-10-18 16:01:56,Twitter for iPhone,13,0,0.32,0.7
"Quite like Emma Hayes and admire all the work she’s done in the women’s game, but not a fan of this approach.

Crea… https://t.co/8Gx0iAOrgQ",1185224241836367873,140,2019-10-18 16:00:54,Twitter for iPhone,45,7,-0.4,0.4
"One of the best players to never win the Ballon d’Or. 

Can’t believe he didn’t win it at least once. https://t.co/PwrNjZ59eT",1185221949263360001,125,2019-10-18 15:51:47,Twitter for iPhone,364,61,0.27,0.38
"@mufcoscar Oh definitely, just thought it was funny it ended up coinciding with their awful season. 

Funnily enoug… https://t.co/wAFZ5xoyJD",1185221624720699393,140,2019-10-18 15:50:30,Twitter for iPhone,2,0,-0.12,0.88
"Jokes aside, Sunderland ‘Till I Die is a brilliant docuseries.

Highly recommend giving it a watch if you haven’t already.",1185220761595895808,122,2019-10-18 15:47:04,Twitter for iPhone,34,1,0.53,0.77
"Probably not the right season to have chosen to do this 😂😂

Having said that, if things keep going like they are fo… https://t.co/3hOSqeAjrR",1185220455986319360,140,2019-10-18 15:45:51,Twitter for iPhone,94,10,0.29,0.54
Good. Perhaps next time you get a job don’t act like you “didn’t hear” the racist chants. https://t.co/60ItpDphLG,1185204794862047233,113,2019-10-18 14:43:37,Twitter for iPhone,68,0,0.35,0.3
@footwonderkids @FTalentScout @ScoutedFtbl @SidelineScouted @AjaxYA @scoutsattending @Ftbltalents @FootWonderkidz… https://t.co/BjRLDuXgFp,1185160873268170757,138,2019-10-18 11:49:06,Twitter for iPhone,0,0,0.0,0.0
Wow. Crazy news but likely the correct decision to avoid any security issues. https://t.co/r8PXPtt85r,1185160435949015040,101,2019-10-18 11:47:21,Twitter for iPhone,18,0,-0.17,0.97
"Ronaldo’s stats at Madrid arguably don’t get enough attention. 

581 G+A in 438 games. Insanity. https://t.co/nwZIEiFoJH",1185001489644838913,120,2019-10-18 01:15:46,Twitter for iPhone,1390,256,0.0,0.5
"@Adroit_Cadet Due to his play style and physical attributes (height), he essentially can’t score on set pieces (non… https://t.co/SuTwwkh25W",1184486037910966272,140,2019-10-16 15:07:32,Twitter for iPhone,103,9,-0.04,0.27
"@Adroit_Cadet Oh of course. We’ve repeatedly talked about his ability to follow up his passes and get in the box, b… https://t.co/2tnXXuwmeh",1184485645860954112,140,2019-10-16 15:05:59,Twitter for iPhone,130,18,0.0,0.0
@LW_ftbl @MarcGeschwind Was @FIFA__Thomas,1184467921424265217,41,2019-10-16 13:55:33,Twitter for iPhone,11,1,0.0,0.0
"Most people will never fully grasp how ridiculously insane this is.

How can you be the best goal scorer on the pla… https://t.co/m9YELah0KV",1184456754752577537,140,2019-10-16 13:11:11,Twitter for iPhone,2958,904,0.17,0.6
@osaemiahonsi @dr_ishmex You’re right. Flaunt or hype up would’ve been the more accurate description.,1184222721288396800,101,2019-10-15 21:41:13,Twitter for iPhone,2,0,0.4,0.56
"@dr_ishmex We do, but can’t tweet about it every single time. All the European strikers benefit from it — Ron, Lewy… https://t.co/MkPAZAnLSZ",1184213667824443392,140,2019-10-15 21:05:14,Twitter for iPhone,17,0,-0.04,0.11
"Doesn’t hurt when you play Cyprus twice, Kazakhstan twice, and San Marino twice. https://t.co/iFYcQGmPGq",1184209269375275009,104,2019-10-15 20:47:46,Twitter for iPhone,803,113,0.0,0.0
"We’ve long been a defender of Neymar because most of his injuries were due to contact and generally unfortunate, bu… https://t.co/uFqH6NOvPw",1184176176224452608,140,2019-10-15 18:36:15,Twitter for iPhone,166,11,-0.04,0.57
All this talk about career goals had us looking up some figures and it was amazing to see Neymar has 387 goals in 5… https://t.co/aL7B7BsC2t,1184175547418644483,140,2019-10-15 18:33:46,Twitter for iPhone,734,159,0.6,0.9
Looks like Griezmann was indeed signed to play on the wing. https://t.co/lQu49pWlib,1184077992433274881,83,2019-10-15 12:06:07,Twitter Web App,79,5,0.0,0.0
Who would you pick? https://t.co/L8kySUHtNF,1184068177359233024,43,2019-10-15 11:27:07,Twitter for iPhone,76,4,0.0,0.0
"@babuyagu It’s a fine line for organizations to take political stances, but this is clearly beyond politics.",1183846797086736384,108,2019-10-14 20:47:25,Twitter for iPhone,0,0,0.17,0.33
@VintxgeWazza https://t.co/UknAfx7xkG,1183846438708662272,37,2019-10-14 20:46:00,Twitter for iPhone,1,0,0.0,0.0
Ask yourself the question. We’ve seen some horrible displays of racism recently but has there been any monumental a… https://t.co/fcB3ciuUul,1183845371455430662,140,2019-10-14 20:41:45,Twitter for iPhone,87,4,-0.5,0.62
"It’s a shame for the players who want to defend their country to see their fans let them down.

If these sorts of d… https://t.co/Y9Iaw4Pv8z",1183844626819624962,140,2019-10-14 20:38:48,Twitter for iPhone,143,10,-0.16,0.29
The Nazi salutes and racist chants from portions of the Bulgaria fans are downright disgusting and some of the most… https://t.co/ttXSAYUEPc,1183843854073638912,140,2019-10-14 20:35:44,Twitter for iPhone,737,115,-0.25,0.75
"A young boy from Madeira once had a dream of becoming a professional footballer.

He’s only gone and done that and… https://t.co/4kgOeQgGnd",1183841183673602048,139,2019-10-14 20:25:07,Twitter for iPhone,1633,407,0.16,0.59
Make sure to check out @nextgenpod and follow them! One of our admins had the chance to be on their podcast.… https://t.co/GiD8kVrO3O,1183738055536107520,133,2019-10-14 13:35:19,Twitter for iPhone,12,2,0.5,0.89
