username,mentions_received
@BrasilEdition,9
@Wideoverload,7
@FIFA,4
@mufcoscar,4
@laxe,4
@FootWonderkidz,2
@SidelineScouted,2
@PLfootballtalk,2
@Adroit,2
@Ftbltalents,2
@scoutsattending,2
@AjaxYA,2
@ScoutedFtbl,2
@ItsReeaaalllll,2
@FTalentScout,2
@footwonderkids,2
@AlexGoldberg,2
@HernanJFC,2
@HEGS,2
@BlaugranaDreams,2
@dr,2
@EiFSo,1
@VivaLaCristiano,1
@LLW024,1
@LorenzoMunisami,1
@joaquin,1
@ogwich,1
@LotfiBang,1
@dunnogrande,1
@TheNorthCurve,1
@F,1
@MessiScored,1
@BK,1
@HagridFootball,1
@EiFSoccer,1
@DoktorKolawole,1
@StateOfPlayPod,1
@osaemiahonsi,1
@captainkoke,1
@stormswrld,1
@SavEliiz2014,1
@maradonnyvdb,1
@ChuBoi,1
@LW,1
@MarcGeschwind,1
@babuyagu,1
@elsaetarubia,1
@VintxgeWazza,1
@nextgenpod,1
@andywest01,1
@Karlor1996,1
@shexysazzy,1
@mbaalthani8,1
@LFCJ,1
@wilfriedzaha,1
