tweets,id,len,date,source,likes,retweets,polarity,subjectivity
@BalgaFCB @TomSFitz Ur obsessed,1185525746493726722,31,2019-10-19 11:58:58,Twitter for Android,2,0,-0.5,1.0
@CFCENW 😂😂😂😂😂😂,1185525631607623681,14,2019-10-19 11:58:31,Twitter for Android,0,0,0.0,0.0
ok I've a bot https://t.co/EHKM6P1igA,1185525453274206208,37,2019-10-19 11:57:48,Twitter for Android,0,0,0.5,0.5
@juventusfcen @spidadmitchell @officialpes he wont shag you,1185525283065159681,59,2019-10-19 11:57:08,Twitter for Android,0,0,0.0,0.0
help im scared https://t.co/yCblZGQoGr,1185524954235883521,38,2019-10-19 11:55:49,Twitter for Android,1,0,0.0,0.0
@IvoryIrena @CarpeDiemBijOma @kouliavtsev @yourmilkitagirl @nrdnlubis @HiskeRidder @eMBe_Zon @went1955 @flipflop378… https://t.co/vWUnNRp4vm,1185524815521812481,140,2019-10-19 11:55:16,Twitter for Android,0,0,0.0,0.0
@MiaSanFamilyy 😂😂😂😂😘,1185524476085227520,20,2019-10-19 11:53:55,Twitter for Android,1,0,0.0,0.0
@MiaSanFamilyy Ur old,1185523846042046466,21,2019-10-19 11:51:25,Twitter for Android,1,0,0.1,0.2
@rl9isagod https://t.co/W0PrYOrqEQ,1185523344373886976,34,2019-10-19 11:49:25,Twitter for Android,1,0,0.0,0.0
@EssamAmbrose 18,1185523227231248388,16,2019-10-19 11:48:57,Twitter for Android,1,0,0.0,0.0
"Wondering how old yall are.

Reply with ur age 👇",1185521901483024384,48,2019-10-19 11:43:41,Twitter for Android,6,0,0.1,0.2
@Wxrrxsxn https://t.co/UzxqZr6RAT,1185521682531917825,33,2019-10-19 11:42:49,Twitter for Android,1,0,0.0,0.0
@BalgaFCB Ur annoying.,1185520558039011328,22,2019-10-19 11:38:21,Twitter for Android,1,0,-0.8,0.9
"G
 o
  o
   d
     m
       o 
       r
      n
     i
    n
   g",1185520266375553024,65,2019-10-19 11:37:12,Twitter for Android,3,0,0.0,0.0
@Classy_Thiago Thank you WanterSZN,1185520031712628736,34,2019-10-19 11:36:16,Twitter for Android,1,0,0.0,0.0
@FergusonSZN_ @Alyssa_MUFC https://t.co/o9k3LQj7IR,1185517166206083072,50,2019-10-19 11:24:52,Twitter for Android,1,0,0.0,0.0
@Luka_Leferink Nee niks,1185516922416324608,23,2019-10-19 11:23:54,Twitter for Android,1,0,0.0,0.0
@BalgaFCB @JamesJukes2 goodnight cunt,1185417133334941698,37,2019-10-19 04:47:23,Twitter for Android,0,0,0.0,0.0
