username,mentions_received
@BalgaFCB,25
@JamesJukes2,13
@Wxrrxsxn,12
@Luka,7
@MiaSanFamilyy,4
@OJxTHFC3,4
@livcoldwell,4
@angiexxunited98,3
@BrookiePuig,3
@BassemElkhatee1,3
@PogSznn,2
@SxrgioSzn,2
@bayer04,2
@QualitySjob,2
@Markodonia,2
@flipflop378,1
@NathRiksen,1
@CarpeDiemBijOma,1
@IvoryIrena,1
@torrecri1,1
@Castro1021,1
@thfcmahfuz,1
@NetflixNL,1
@ndombele,1
@TidyTuanzebe,1
@officialpes,1
@spidadmitchell,1
@juventusfcen,1
@DerKaiserWerner,1
@NeuerSZN,1
@CFCENW,1
@ComanProdigy,1
@PacyHector,1
@kouliavtsev,1
@rl9isagod,1
@trxcymbr,1
@EssamAmbrose,1
@went1955,1
@Classy,1
@FergusonSZN,1
@Alyssa,1
@eMBe,1
@HiskeRidder,1
@FerrierFlair,1
@SwiftyStones,1
@TomSFitz,1
@trudeO1982,1
@nrdnlubis,1
@yourmilkitagirl,1
@Sporf,1
@HeyesZak,1
@2nestUtd,1
