tweets,id,len,date,source,likes,retweets,polarity,subjectivity
"@EiFSoccer @StatsZone Your hunch was correct btw:
Defensive third possession
Barça = 78%
Middle third possession
Ba… https://t.co/1pDspCa0aQ",1185528907409309697,140,2019-10-19 12:11:32,Twitter for iPhone,0,0,0.0,0.0
"@EiFSoccer Not directly but @statszone differentiate between passes in the defensive, middle and final 3rd. So you… https://t.co/RFvMEaKSky",1185528085254418432,139,2019-10-19 12:08:16,Twitter for iPhone,0,0,-0.01,0.35
The interview is from Herrera.,1185517873248264202,30,2019-10-19 11:27:41,Twitter for iPhone,0,0,0.0,0.0
@mxhrez Herrera,1185517722051993602,15,2019-10-19 11:27:05,Twitter for iPhone,0,0,0.0,0.0
"@fabianphx @Calcioexpert1 can never be that for a team with Messi. Neymar left for the same reason, he wanted to be… https://t.co/sE94IX7h2Y",1185517310573981696,140,2019-10-19 11:25:27,Twitter for iPhone,0,0,0.0,0.06
"@fabianphx @Calcioexpert1 People just think: Coutinho was a bad left winger for Barça —&gt; he’s a bad left winger 
wh… https://t.co/CNtqtKQNgV",1185516792783036417,143,2019-10-19 11:23:23,Twitter for iPhone,2,0,-0.35,0.33
https://t.co/qRyGd4MmZ2,1185515830035058688,23,2019-10-19 11:19:34,Twitter for iPhone,1,0,0.0,0.0
@Calcioexpert1 @fabianphx Coutinho played absolutely amazing as a left winger for Liverpool being the main creative… https://t.co/HxcfqhCx0i,1185514086949441537,140,2019-10-19 11:12:38,Twitter for iPhone,1,0,0.32,0.56
@footie_addict @K3remKerem Weirdly enough Pepe was valued 60m by transfermarkt up until a couple of weeks ago so th… https://t.co/E6vMkyiq2i,1185512942218989568,140,2019-10-19 11:08:05,Twitter for iPhone,0,0,0.0,0.5
@ThatMunichNight https://t.co/d9Pm110oWk,1185509174978977793,40,2019-10-19 10:53:07,Twitter for iPhone,0,0,0.0,0.0
@ThatMunichNight 2nd best shot stopper in the league this season,1185508969479131136,64,2019-10-19 10:52:18,Twitter for iPhone,0,0,0.5,0.15
