username,mentions_received
@drownednsadness,27
@faith,27
@cayliebabyy,17
@brecheron,11
@LightsOut,11
@AnonoFootball,10
@legende2501,10
@wilgh0st,10
@Frenkiesque,6
@ManuelVeth,5
@Luka,4
@0utspokenexprt,4
@IntChampionsCup,4
@BaguetteSZN,4
@bayernismus,4
@fabianphx,4
@ThatMunichNight,3
@Calcioexpert1,3
@ScoutedFtbl,3
@Adroit,2
@LeoulPrince,2
@notliukang,2
@iMiaSanMia,2
@AshwinRaman,2
@timothymr,2
@BassemElkhatee1,2
@poculumwinecup,2
@Sam,2
@EiFSoccer,2
@joaofelix70,2
@AlSaeef,2
@RuiAFerreir4,2
@xzouv,2
@rramesss,2
@utdarena,1
@Lahmisch,1
@footie,1
@Slimesteiger,1
@mxhrez,1
@BalgaFCB,1
@ftbl,1
@30SECVlDEOS,1
@statszone,1
@kessler,1
@MarkOHaire,1
@floninhooo,1
@AlbertOrtegaES1,1
@marceloholic,1
@misterbayern,1
@K3remKerem,1
@EASPORTSFIFA,1
@FTalentScout,1
@saeedjuventino,1
@uniqufootball,1
@Siva,1
@SaturdayOnCouch,1
@grantdesmidt,1
@SebC,1
@KariukiMachine,1
@xJodokus,1
@StatsZone,1
@TheFramePlays,1
