tweets,id,len,date,source,likes,retweets,polarity,subjectivity
"Hey You! Yeaaaaah You. Your Pretty Fuckin’ Cool 💪🕶👍 Keep That Shit Up 💯 Have A Great Friday Crew, Champ Shit Only… https://t.co/eRFOIaEnic",1185270790104551425,138,2019-10-18 19:05:52,Twitter for iPhone,2991,267,0.17,0.83
“60% Of The Time It Works Everytime!” # HuntinSeason 💪🕶 -CSO- 🇺🇸🏆🇲🇽 https://t.co/yp8VtbGWoZ,1185091401245048837,91,2019-10-18 07:13:02,Twitter for iPhone,2687,271,0.0,0.0
"“BahDahDahhhhDann” 🎶😆🎶 # ahsnap Have A Great Weekend Crew, Keep It Phresh 🌱 Champ Shit Only™️ 🇺🇸🏆🇲🇽 # Lytework https://t.co/yqo1aN9p7Z",1183140835484823552,134,2019-10-12 22:02:11,Twitter for iPhone,2521,173,0.2,0.85
“All In My Feelings Friday” Old🌵Clip 💪🕶 -CSO- 🇺🇸🏆🇲🇽 https://t.co/4cQ4gwXSU3,1182773936913731584,75,2019-10-11 21:44:16,Twitter for iPhone,3620,318,0.1,0.2
@akramrasheedca @TeamKhabib @akajav It’s Champ Shit Only™️ MF #TonyTime🇺🇸🏆🇲🇽 https://t.co/qhSDc920aE,1182212716452184065,100,2019-10-10 08:34:10,Twitter for iPhone,24,5,-0.1,0.9
"@akramrasheedca @TeamKhabib @akajav No You Simpleton, Its The Fact That @TeamKhabib Is In Debt With Me For Over $20… https://t.co/6WLCKlvCv7",1182209781647298561,140,2019-10-10 08:22:30,Twitter for iPhone,144,10,0.0,0.0
"@Mikaelmusic1 Ahem, That’s The # CelestialTeaBag Sir 💯 Snapjitsu™️ -CSO- https://t.co/UJJruAQ4V2",1182207106205663233,96,2019-10-10 08:11:53,Twitter for iPhone,51,2,0.0,0.0
@EvilGokhan @TonysTitleShot Type A Guy To Mature Young? https://t.co/DmfXoJpnBa,1182206614675193856,79,2019-10-10 08:09:55,Twitter for iPhone,147,12,0.1,0.25
“I Am El Cucuy’s Elbow” 💪 I Am Sharp. I Break Shit. I Cause Heartache &amp; Retirements. Other Than Having Bad Manners… https://t.co/KZ5SDaL09G,1182205855443214338,143,2019-10-10 08:06:54,Twitter for iPhone,1461,128,-0.29,0.65
I Found Your Mole So He’s No Mo @TeamKhabib @akajav You’re Mine Khabieber. Enjoy That World Tour &amp; Make Sure To Do… https://t.co/zg6RI8xMxE,1182202571554865152,143,2019-10-10 07:53:51,Twitter for iPhone,4003,325,0.45,0.69
"💪🕶 #WBW Check It Out, Fathead &amp; Team Don’t Want Smoke. Although His Manager Keeps Making It Worse For Him. It’s A T… https://t.co/43wlRqRX0Y",1182158912167923712,144,2019-10-10 05:00:22,Twitter for iPhone,4430,439,-0.4,0.6
@bokamotoESPN @TeamKhabib @AliAbdelaziz00 Just Another Thirsty Hoe Cravin’ Attention. Last Time I Recall You Tried… https://t.co/8DbZFp3f1n,1182140245317304320,139,2019-10-10 03:46:12,Twitter for iPhone,1049,88,0.0,0.07
“USADAs Been Testin’” @usantidoping Morning Wake Up Calls Are My Favorite # StillNoCoffee 🤦‍♂️ 🇺🇸🏆🇲🇽 # TrainCleanFi… https://t.co/sM5BQQF2wY,1181604711276765184,140,2019-10-08 16:18:10,Twitter for iPhone,1122,72,0.5,1.0
“Goku🕴Status” Moar🐢Hype Just In Time For # McNuggetMonday Waaaaazaaaaahhhh -Champ Shit Only™️ 🇺🇸🏆🇲🇽 # snapintuit My… https://t.co/0pkFcgyhhP,1181401511546347520,140,2019-10-08 02:50:44,Twitter for iPhone,4810,651,-0.1,0.9
Lets Go!!! #ufc243 @ufc @stylebender vs @robwhittakermma -CSO- 💪🕶 🇺🇸🏆🇲🇽,1180699886171254784,71,2019-10-06 04:22:43,Twitter for iPhone,2819,168,0.0,0.0
"“I Said It Before &amp; I’ll Say It Again,.. Maaaan I Love Bein’ A Turtle” 🐢 #TiramisuTuesday 👊😂👍 #KhabibTime —&gt; 🍮🍩🍪🍰🎂🧁… https://t.co/jYwIEcbV4s",1179248240652357634,147,2019-10-02 04:14:24,Twitter for iPhone,3139,343,0.5,0.6
-CSO- 🇺🇸🏆🇲🇽 https://t.co/kbQUAE2oWY,1178912631337316352,35,2019-10-01 06:00:49,Twitter for iPhone,2912,154,0.0,0.0
Beyond Any Limiting Level Of Creativity 💯 Effort x Consistency Is Confidence 🌱Snapintuit Champ Shit Only™️ 🇺🇸🏆🇲🇽 #… https://t.co/SES4JdOmxf,1178846460843982849,139,2019-10-01 01:37:52,Twitter for iPhone,842,61,-0.1,0.9
“Attitude🕴Adjuster” Bladez n’ Shadez 🔛 Champ Shit Only™️ 🇺🇸🏆🇲🇽 #andstill https://t.co/xpfSTlyZs5,1178762076405190656,96,2019-09-30 20:02:34,Twitter for iPhone,929,58,-0.1,0.9
“B# Up🎶Beat”🕴Champ Shit Only™️ # moarhype 🇺🇸🏆🇲🇽 https://t.co/h9ywa7j9mh,1178567562038087681,71,2019-09-30 07:09:38,Twitter for iPhone,2183,140,-0.1,0.9
"“Snap Down City!!!” Got The Signal, Champs Back!!! Fight News Coming Soon, 🎶Stay Tuned🎶 # Back2Business # WhyIOutta… https://t.co/zr57srTS6O",1178046614688030721,140,2019-09-28 20:39:34,Twitter for iPhone,3847,571,-0.08,0.14
"“Chicken Wings Tommy, Chicken Wings.”-Tommy Boy 💪🕶 Any One Of You That Knows That Quote Is Welcome, Tunnel Vision… https://t.co/D4uollSf9h",1176305870163939329,138,2019-09-24 01:22:28,Twitter for iPhone,1712,131,-0.13,0.93
In Lieu Of Old News #McnuggetMonday Continues -Have A Great Day Mi Gente 💯All The Sauce 🔥 Champ Shit Only™️ 💪🕶 🇺🇸🏆🇲🇽 https://t.co/aAZEtFSHpJ,1176298978075234305,140,2019-09-24 00:55:05,Twitter for iPhone,2426,229,0.17,0.69
@rick_doobs @TeamKhabib @ufc @danawhite @BallengeeGroup 🇺🇸🏆🇲🇽 https://t.co/C7irH8XXnc,1176009500194570240,85,2019-09-23 05:44:48,Twitter for iPhone,54,3,0.0,0.0
@AmirTaleb05050t @ufc @LiLHeathenMMA @panteraufc Oh Shit! Let’s Gooooo!!! 👊😆 -CSO- 🇺🇸🏆🇲🇽 https://t.co/7xhogwJb1t,1175612544272044032,112,2019-09-22 03:27:27,Twitter for iPhone,13,0,-0.2,0.8
