username,mentions_received
@TeamKhabib,17
@DustinPoirier,9
@ufc,7
@AliAbdelaziz00,5
@TheHulkMMA,3
@akajav,3
@LiLHeathenMMA,3
@danawhite,2
@philthemmadude,2
@panteraufc,2
@BallengeeGroup,2
@akramrasheedca,2
@rick,1
@DAZN,1
@TeddyAtlasReal,1
@ufcpi,1
@musica,1
@GamebredFighter,1
@brucebufferufc,1
@ModeloUSA,1
@stipemiocic,1
@skanky,1
@VVS,1
@Copacetic,1
@UFC,1
@JForsh93,1
@0mgjon,1
@Mikaelmusic1,1
@GeorgesStPierre,1
@robwhittakermma,1
@robinblackmma,1
@SuzanRian,1
@powerfulCRE,1
@djovica78,1
@EvilGokhan,1
@TonysTitleShot,1
@Garcia,1
@brianboom135,1
@MMAFighting,1
@AngieOverkill,1
@bokamotoESPN,1
@usantidoping,1
@AmirTaleb05050t,1
@stylebender,1
@krideout12,1
