tweets,id,len,date,source,likes,retweets,polarity,subjectivity
@Luka_Leferink WWWW INJECTISSIMO,1185528692858073088,32,2019-10-19 12:10:41,Twitter Web App,0,0,0.0,0.0
RT @ChuBoi: True story: we once banned Griezmann's account for coin buying in FIFA 15. Dude called the French office so upset and we gave h…,1185528447289958401,140,2019-10-19 12:09:42,Twitter Web App,0,506,0.17,0.33
RT @tayallard: pete davidson and pete davidson in a wig have called it quits https://t.co/Ruez686Kd2,1185528055118340101,100,2019-10-19 12:08:09,Twitter Web App,0,88232,0.0,0.0
RT @NoContextGKs: https://t.co/lsGttuWn2h,1185527998407204864,41,2019-10-19 12:07:55,Twitter Web App,0,149,0.0,0.0
RT @RwillsMKD: Imagine logging on wanting a chill game and you see this virgin come towards you 😂😂😂😂😂 https://t.co/ysd4iZn6dV,1185527747482968069,125,2019-10-19 12:06:55,Twitter Web App,0,150,-0.4,0.4
RT @Rikeem_s8: I’ll wear this and still call kids a paki down the mic https://t.co/nRdyfFiMH9,1185527429185638400,93,2019-10-19 12:05:39,Twitter Web App,0,599,-0.16,0.29
YAW https://t.co/JQf9zddYpz,1185527182413746177,27,2019-10-19 12:04:40,Twitter Web App,0,0,0.0,0.0
@PhonziePhenom19 Latt,1185526827860811777,21,2019-10-19 12:03:16,Twitter Web App,1,0,0.0,0.0
@Fear_Bavaria ikr,1185526633446432768,17,2019-10-19 12:02:30,Twitter Web App,1,0,0.0,0.0
@ComanProdigy yes pls,1185526585300078599,21,2019-10-19 12:02:18,Twitter Web App,1,0,0.0,0.0
@Luka_Leferink skssksksksksks lmaoooo,1185524345361305600,37,2019-10-19 11:53:24,Twitter Web App,1,0,0.0,0.0
LOFI beats saved my soul,1185524281213702144,24,2019-10-19 11:53:09,Twitter Web App,3,1,0.0,0.0
@Luka_Leferink coz you cant get a girl,1185521095375556614,38,2019-10-19 11:40:29,Twitter Web App,1,0,0.0,0.0
@hamza88998 @UtdTJ I realized I cant read lmao,1185520884074909696,46,2019-10-19 11:39:39,Twitter Web App,0,0,0.6,1.0
@SuleSZN @PhonziePhenom19 Matt in the mud. Had to be done. Communism shall be no more,1185520696379805697,85,2019-10-19 11:38:54,Twitter Web App,2,0,-0.25,0.5
