tweets,id,len,date,source,likes,retweets,polarity,subjectivity
@Luka_Leferink WWWW INJECTISSIMO,1185528692858073088,32,2019-10-19 12:10:41,Twitter Web App,0,0,0.0,0.0
YAW https://t.co/JQf9zddYpz,1185527182413746177,27,2019-10-19 12:04:40,Twitter Web App,0,0,0.0,0.0
@PhonziePhenom19 Latt,1185526827860811777,21,2019-10-19 12:03:16,Twitter Web App,1,0,0.0,0.0
@Fear_Bavaria ikr,1185526633446432768,17,2019-10-19 12:02:30,Twitter Web App,1,0,0.0,0.0
@ComanProdigy yes pls,1185526585300078599,21,2019-10-19 12:02:18,Twitter Web App,1,0,0.0,0.0
@Luka_Leferink skssksksksksks lmaoooo,1185524345361305600,37,2019-10-19 11:53:24,Twitter Web App,1,0,0.0,0.0
LOFI beats saved my soul,1185524281213702144,24,2019-10-19 11:53:09,Twitter Web App,3,1,0.0,0.0
@Luka_Leferink coz you cant get a girl,1185521095375556614,38,2019-10-19 11:40:29,Twitter Web App,1,0,0.0,0.0
@hamza88998 @UtdTJ I realized I cant read lmao,1185520884074909696,46,2019-10-19 11:39:39,Twitter Web App,0,0,0.6,1.0
@SuleSZN @PhonziePhenom19 Matt in the mud. Had to be done. Communism shall be no more,1185520696379805697,85,2019-10-19 11:38:54,Twitter Web App,2,0,-0.25,0.5
Have a test with Revolut tomorrow. If it goes well interview for a job 🤘🏻🤘🏻🤘🏻🤘🏻wish me luck boys,1185395645114454018,96,2019-10-19 03:22:00,Twitter for iPhone,22,0,0.0,0.0
@Battenburg15 @miknibor818 Ah sorry misread it. 🤝🤝🤝,1185395529582284800,51,2019-10-19 03:21:32,Twitter for iPhone,1,0,-0.5,1.0
"@Battenburg15 @miknibor818 Well he literally got injured, james played, and the moment he started playing we scored… https://t.co/hdp6TFn8cL",1185374740984279040,140,2019-10-19 01:58:56,Twitter for iPhone,0,0,0.0,0.0
@CuiSauce Yes sir 💉💉💉💉😤😤,1185371789314220034,24,2019-10-19 01:47:12,Twitter for iPhone,1,0,0.0,0.0
@BRAZZORZ Living alone is a w can confirm,1185358948834119680,41,2019-10-19 00:56:10,Twitter for iPhone,3,0,0.0,0.0
@HODGSON_1 LMAO I DIDNT SEE MESSI YEEEEEET RETARD SAUCE ON SPILL,1185358868462915584,64,2019-10-19 00:55:51,Twitter for iPhone,0,0,-0.15,1.0
@Gnabrynho @Markodonia hey mr agent ISSA JOKE pls,1185350844247609345,49,2019-10-19 00:23:58,Twitter Web App,0,0,0.0,0.0
"@Gnabrynho @Markodonia ripe age bro, we boutta meet up im horny",1185349550615257088,63,2019-10-19 00:18:50,Twitter Web App,0,0,0.0,0.0
"@DastanZayn nah its like mukbangs and 20 year old girls talking about ""a week in my college"" ""a week in my life"" and shit",1185346507802906625,121,2019-10-19 00:06:44,Twitter Web App,2,0,-0.05,0.5
if you saw my youtube history youd think im a 15 year old girl,1185346175328817152,62,2019-10-19 00:05:25,Twitter Web App,11,0,0.1,0.2
John Locke was so far ahead of his time. jesus the man was a genius.,1185345811359645696,68,2019-10-19 00:03:58,Twitter Web App,3,0,0.1,1.0
Christ imagine a girl asks you to use this https://t.co/Y0lQYQM84A,1185344151690338305,66,2019-10-18 23:57:23,Twitter for iPhone,21,1,0.0,0.0
Imagine resorting to whoring on ft to get some sense of satisfaction/cover ya insecurities jeeez thats a low point https://t.co/dtxqcXd429,1185343960794972160,138,2019-10-18 23:56:37,Twitter for iPhone,8,1,0.0,0.3
"@MullerSZN1 Eriksen untradeable, when the cash comes in its gonna be gucci. Don up front",1185327490480459776,88,2019-10-18 22:51:10,Twitter for iPhone,1,0,0.0,0.0
@Bruvarian https://t.co/5MAmAyPuPn,1185327297290817536,34,2019-10-18 22:50:24,Twitter for iPhone,1,0,0.0,0.0
@Luka_Leferink Whole team gone,1185326630442541057,30,2019-10-18 22:47:45,Twitter for iPhone,0,0,0.2,0.4
@UtdTJ Do a top 5 so messi is 4th in assists too lmao,1185324795115778051,53,2019-10-18 22:40:28,Twitter for iPhone,1,0,0.55,0.75
Ah yes of course. 30k watch as if he couldnt buy 10 of those every week https://t.co/KnbVkeYjfU,1185322203870646273,95,2019-10-18 22:30:10,Twitter for iPhone,7,0,0.0,0.0
@toyintx Yes king 😤😤🤝,1185321632820322304,21,2019-10-18 22:27:54,Twitter for iPhone,1,0,0.0,0.0
@LondonBlues31 @MaxZein Lmao max no alcohol or cigs?? How tf does it add to 70,1185321460438622208,78,2019-10-18 22:27:13,Twitter for iPhone,1,0,0.6,1.0
@xotoxiic Damn thats how i wake up erdayyyy,1185311366044893186,43,2019-10-18 21:47:06,Twitter for iPhone,1,0,0.0,0.0
@Markodonia U 18?,1185311132170510338,17,2019-10-18 21:46:10,Twitter for iPhone,1,0,0.0,0.0
@hopie234 r/whooooooshhhhhhh,1185306301422809094,28,2019-10-18 21:26:58,Twitter for iPhone,0,0,0.0,0.0
@ThiagoTactics Iam. I order. Healthy tho. Chicken wrap and broccoli. Some fries which i wont eat all so less cals than the pasta,1185278243726856192,128,2019-10-18 19:35:29,Twitter for iPhone,0,0,-0.09,0.51
@MarkodoniaFT @philiptayo25 @iMiaSanMia @kessler_philipp I guess we wait and see,1185277517902598144,80,2019-10-18 19:32:36,Twitter for iPhone,0,0,0.0,0.0
@cumberIey Dating a bitch who weighs more than 130 pounds is cool until yall sleeping and she rolls over you like a… https://t.co/eg3Hc84qt8,1185275147739189248,140,2019-10-18 19:23:11,Twitter for iPhone,0,0,0.42,0.57
@MarkodoniaFT @philiptayo25 @iMiaSanMia @kessler_philipp We learnt about it,1185274901147635713,75,2019-10-18 19:22:12,Twitter for iPhone,0,0,0.0,0.0
Should i order again and be a nasty boy or do i make pasta with red sauce,1185272586621640708,73,2019-10-18 19:13:00,Twitter for iPhone,8,0,-0.5,0.5
@MarkodoniaFT @philiptayo25 @iMiaSanMia @kessler_philipp the being in the city part is clear because they wouldn't… https://t.co/C8ufmqP6nP,1185270596717940738,139,2019-10-18 19:05:06,Twitter Web App,0,0,0.1,0.38
