username,mentions_received
@Luka,7
@kessler,6
@iMiaSanMia,6
@philiptayo25,6
@MarkodoniaFT,5
@Markodonia,4
@ComanProdigy,3
@BalgaFCB,2
@F,2
@this,2
@Giroudesque7i,2
@30SECVlDEOS,2
@OttlSZN,2
@Gnabrynho,2
@BRAZZORZ,2
@CanadianRom,2
@miknibor818,2
@Battenburg15,2
@UtdTJ,2
@PhonziePhenom19,2
@KierMarkham,1
@Asmongold,1
@utdreport,1
@james,1
@MaxPowaah,1
@mike,1
@Lewy,1
@LeoulPrince,1
@FlagsMashupBot,1
@MiaSanFamilyy,1
@DrJaninaRamirez,1
@vintagehleb2,1
@Slimesteiger,1
@CursedFootball,1
@mannnhe,1
@Xavipistachio,1
@spacecadet0697,1
@KhalidBrahh,1
@arpinedk,1
@Bathrobe,1
@Carolinas,1
@tweetsauce,1
@ThiagoTactics,1
@goodbeanalt,1
@cumberIey,1
@tayallard,1
@NoContextGKs,1
@RwillsMKD,1
@Rikeem,1
@Fear,1
@hamza88998,1
@SuleSZN,1
@heriberto,1
@CuiSauce,1
@HODGSON,1
@DastanZayn,1
@neiltyson,1
@MullerSZN1,1
@Bruvarian,1
@UtdSxb,1
@Roro89F,1
@WayneRooney,1
@toyintx,1
@LondonBlues31,1
@MaxZein,1
@xotoxiic,1
@tyIerzilla,1
@hopie234,1
@wroetoshaw,1
@ChuBoi,1
@kaylasheagg,1
