tweets,id,len,date,source,likes,retweets,polarity,subjectivity
@BLRAirport @bigfmindia has launched the #plasticbeku campaign to make polymer roads using no recyclable plastic.… https://t.co/UcxgsM4Gmm,1177275141086175233,138,2019-09-26 17:34:01,Twitter for Android,3,2,0.0,0.0
@sandeepdhar10 @narendramodi Quite an opportunity 9,1176145777581678593,51,2019-09-23 14:46:19,Twitter for Android,1,0,0.0,0.0
RT @ANI: Defence Research and Development Organisation (DRDO) conducts five trials of Air-to-Air Missile ‘Astra’; All the trials have been…,1174762709868408833,139,2019-09-19 19:10:30,Twitter for Android,0,843,0.0,0.0
RT @DanaKursh: Proud of the Indian &amp; Israeli media for highlighting #India &amp; #Israel #Dance performance which transcended beyond time and s…,1173540637376823298,148,2019-09-16 10:14:25,Twitter for Android,0,21,0.8,1.0
"Just witnessed a spectacular performance put together by @IsraelBangalore @DanaKursh @SeidmanAriel 
Breaking barrie… https://t.co/fg2sM5Bphc",1172219090640916480,140,2019-09-12 18:43:04,Twitter for Android,2,0,0.6,0.9
"RT @aranya_kfd: The Jog falls; at its splendour |  ಜೋಗಜಲಪಾತದ‌ ವೈಭವ

#india #karnataka #forest #wildlife #saplings #trees #nature #green #co…",1169371305465958400,140,2019-09-04 22:06:59,Twitter for Android,0,647,-0.2,0.3
RT @EmmanuelMacron: Our house is burning. Literally. The Amazon rain forest - the lungs which produces 20% of our planet’s oxygen - is on f…,1164818372929830919,140,2019-08-23 08:35:16,Twitter for Android,0,58033,0.0,0.0
"RT @timepas70734093: @AkbaruddinIndia This man is awesome ! Hats off.
#UNSC #Pakistanhumiliated
#KashmirLooksAhead @TVMohandasPai @AdityaRa…",1162585003982589953,140,2019-08-17 04:40:39,Twitter for Android,0,44,1.0,1.0
RT @HinduAmericans: @hasanminhaj More ignorant garbage from @patriotact. We will be launching boycott of your show and tell Indian-American…,1162449437743972352,140,2019-08-16 19:41:57,Twitter for Android,0,364,0.25,0.25
"RT @Flipkart: The closer we stay to each other, the freer we shall feel. Happy Raksha Bandhan, India. And Happy Independence Day. #NayeIndi…",1162000019991322625,140,2019-08-15 13:56:08,Twitter for Android,0,289,0.49,0.79
"RT @HMLokesh: Khaki is a power and being in uniform is a pride. ""COPs are born rescuers"" https://t.co/79kAqPLvdO",1160591378960637952,112,2019-08-11 16:38:42,Twitter for Android,0,272,0.0,0.0
"RT @BlrCityPolice: ""ಸಾರ್ವಜನಿಕರ ಪ್ರಶಂಸೆಯೇ ನಮಗೆ ದೊಡ್ಡ ಪ್ರೇರಣೆ"".
 ""Public appreciation is our biggest motivation"". https://t.co/XEAEXyuRlO",1160591196848132097,135,2019-08-11 16:37:58,Twitter for Android,0,78,0.0,0.07
"RT @theuglyindian: BOMBAT BELLANDURU!
The ugly, dusty, defaced side ramp wall of the Bellandur Flyover is reclaimed by Team @IntuitIN. Bril…",1157757176649097216,140,2019-08-03 20:56:35,Twitter for Android,0,21,-0.55,0.8
"RT @elonmusk: @Yashwanthnadal I’m told import duties are extremely high (up to 100%), even for electric cars. This would make our cars unaf…",1157159047642042368,140,2019-08-02 05:19:50,Twitter for Android,0,993,0.16,0.54
RT @CMofKarnataka: ಇನ್ಫೋಸಿಸ್ ಪ್ರತಿಷ್ಠಾನದ ಅಧ್ಯಕ್ಷರಾದ ಶ್ರೀಮತಿ ಸುಧಾ ಮೂರ್ತಿ ಅವರು ಇಂದು ಬೆಳಿಗ್ಗೆ ಮುಖ್ಯಮಂತ್ರಿ ಬಿ.ಎಸ್. ಯಡಿಯೂರಪ್ಪ ಅವರನ್ನು ಗೃಹ ಕಚೇರಿ…,1156098694342557698,139,2019-07-30 07:06:22,Twitter for Android,0,215,0.0,0.0
"RT @DelftHyperloop: After months of hard work, together with our partners @INDG and @AltSpace, we proudly present to you the Delft Hyperloo…",1153172189408968705,140,2019-07-22 05:17:29,Twitter for Android,0,185,-0.15,0.27
"RT @TheTweetOfGod: Sometimes when the whole world is against you, the whole world is right.",1148181045805637632,91,2019-07-08 10:44:28,Twitter for Android,0,4425,0.23,0.45
RT @TheTweetOfGod: The easily offended deserve to be easily offended.,1148180636823248897,69,2019-07-08 10:42:50,Twitter for Android,0,7711,0.43,0.83
"RT @BlrCityPolice: Watching you wheelie at 70⁰, made us watch you 360⁰ in reformation house! https://t.co/AKo0vrXsAm",1145957825690001408,116,2019-07-02 07:30:11,Twitter for Android,0,31,0.0,0.0
"RT @theuglyindian: YES! IT'S YESHWANTPUR!
Volunteers from the @BrigadeGroup took up the #UnderpassChallenge and transformed the ugly walls…",1141236533212536832,139,2019-06-19 06:49:27,Twitter for Android,0,11,-0.7,1.0
"RT @rssurjewala: .@INCIndia has decided to not send spokespersons on television debates for a month. 

All media channels/editors are reque…",1134112362397556736,140,2019-05-30 15:00:32,Twitter for Android,0,6591,0.0,0.0
"RT @IsraeliPM: Prime Minister Benjamin Netanyahu called to congratulate Indian Prime Minister @NarendraModi on his election victory.
""Naren…",1131817541020540928,140,2019-05-24 07:01:44,Twitter for Android,0,17019,0.0,0.0
RT @mepratap: Thank you beloved PM @narendramodi ji and the people of Mysuru-Kodagu! https://t.co/newlwkkdHI,1131817352289431552,108,2019-05-24 07:00:59,Twitter for Android,0,1719,0.7,1.0
"RT @BJP4Karnataka: Didi @MamataOfficial 

Jai Shri Ram !!!",1131816213955268608,58,2019-05-24 06:56:28,Twitter for Android,0,7114,0.0,0.0
RT @SunnyLeone: Leading by How many votes ???? ;) 😜,1131434270587645952,51,2019-05-23 05:38:45,Twitter for Android,0,15827,0.5,0.5
RT @SirJadeja: Arnab is so excited today he goofed up Sunny Deol as Sunny Leone😂🤣😂#Verdict2019 #ElectionResults2019 https://t.co/SBDt1DEDoE,1131433988143214592,139,2019-05-23 05:37:38,Twitter for Android,0,4011,0.38,0.75
RT @OmarAbdullah: Looks like the tweet got lost in the clouds. Luckily there are screen shots floating around to help https://t.co/zSW7Csdh…,1127428133655724032,140,2019-05-12 04:19:48,Twitter for Android,0,1507,0.33,0.83
"RT @ANI: K'taka: A Bangalore Metropolitan Transport Corporation bus driver has kept plants in the bus he drives,which plies between Kaval B…",1125897786426216448,140,2019-05-07 22:58:45,Twitter for Android,0,259,0.0,0.0
RT @CTRavi_BJP: What kind of Journalism is this? Sri @siddaramaiah is a leader on his own strength and has grown from the roots. He is a se…,1121337595361779712,140,2019-04-25 08:58:10,Twitter for Android,0,478,0.6,0.95
"RT @siddaramaiah: ನಟಸಾರ್ವಭೌಮ, ಪದ್ಮಭೂಷಣ ಪ್ರಶಸ್ತಿ ಪುರಸ್ಕೃತ, ಕನ್ನಡದ  ಅನರ್ಘ್ಯ ರತ್ನ ಎಲ್ಲವೂ ಆಗಿರುವ ಡಾ.ರಾಜಕುಮಾರ್ ಅವರು ನನ್ನ ಪಾಲಿಗೆ 'ನನ್ನ ಕಾಡಿನವರು'.…",1120927139774119936,140,2019-04-24 05:47:10,Twitter for Android,0,252,0.0,0.0
