username,mentions_received
@elonmusk,8
@ANI,7
@TheTweetOfGod,6
@NEWS9TWEETS,6
@sandeepdhar10,5
@IndiaToday,5
@dp,4
@narendramodi,3
@KMbappe,2
@INCIndia,2
@CMofKarnataka,2
@theuglyindian,2
@BlrCityPolice,2
@siddaramaiah,2
@SirJadeja,2
@hd,2
@DanaKursh,2
@Raghu,1
@rajinikanth,1
@TheRealStanLee,1
@pewdiepie,1
@nabs5,1
@CaliaDomenico,1
@abhinandan1441,1
@PIB,1
@rameshsrivats,1
@UNESCO,1
@inscriptionblr,1
@NASA,1
@sagayrajp,1
@NeymarFr,1
@9GAG,1
@DDNewsLive,1
@KarnatakaSNDMC,1
@krishnabgowda,1
@AMavingundi,1
@ICC,1
@Mickykh,1
@BJP4India,1
@SpaceX,1
@RahulGandhi,1
@PSG,1
@KicchaSudeep,1
@mkstalin,1
@prakashiyer,1
@udaytharar,1
@D,1
@BLRAirport,1
@timesnow,1
@AdityaRa,1
@IntuitIN,1
@HMLokesh,1
@Flipkart,1
@patriotact,1
@hasanminhaj,1
@HinduAmericans,1
@TVMohandasPai,1
@LatvisLT,1
@AkbaruddinIndia,1
@timepas70734093,1
@EmmanuelMacron,1
@aranya,1
@SeidmanAriel,1
@IsraelBangalore,1
@Yashwanthnadal,1
@DelftHyperloop,1
@INDG,1
@AltSpace,1
@BrigadeGroup,1
@rssurjewala,1
@IsraeliPM,1
@NarendraModi,1
@mepratap,1
@BJP4Karnataka,1
@MamataOfficial,1
@SunnyLeone,1
@OmarAbdullah,1
@CTRavi,1
@bigfmindia,1
@DKShivakumar,1
@LeoDiCaprio,1
@nolanentreeo,1
