tweets,id,len,date,source,likes,retweets,polarity,subjectivity
"Susan Rice, who was a disaster to President Obama as National Security Advisor, is now telling us her opinion on wh… https://t.co/1IrtH5McCg",1185389914470473729,140,2019-10-19 02:59:13,Twitter for iPhone,77345,21096,0.0,0.0
"Pelosi and Impeachment - There have already been 3 Votes, and they’ve all failed miserably. Here’s why there may no… https://t.co/Phv5Jtemmt",1185379196203421696,140,2019-10-19 02:16:38,Twitter for iPhone,42130,12238,-0.75,0.65
"Congressman Michael McCaul, “Schiff’s inquiry defies Democracy.” @FoxNews @seanhannity",1185375708559876098,86,2019-10-19 02:02:46,Twitter for iPhone,28571,7489,0.0,0.0
"“Because the House has already voted against the Impeachment Proceeding, the current inquiry is totally invalid. Th… https://t.co/PZIzcO2WiE",1185374394350215169,140,2019-10-19 01:57:33,Twitter for iPhone,44057,13109,0.0,0.57
Corrupt Congressman Adam Schiff is angry that Ambassadors that he thought would be good for his fraudulent Witch Hu… https://t.co/8a8f8mqZb6,1185367080780156930,140,2019-10-19 01:28:29,Twitter for iPhone,77511,21278,-0.1,0.87
REPUBLICANS MUST STICK TOGETHER AND FIGHT! https://t.co/chnSNURfFx,1185339160858648576,66,2019-10-18 23:37:33,Twitter Media Studio,58455,18940,0.0,0.0
https://t.co/Q2ar4LZGM4,1185337032429789184,23,2019-10-18 23:29:05,Twitter for iPhone,49769,14517,0.0,0.0
"Think of how many lives we saved in Syria and Turkey by getting a ceasefire yesterday. Thousands and thousands, and maybe many more!",1185336214049689600,132,2019-10-18 23:25:50,Twitter for iPhone,72858,15982,0.5,0.5
https://t.co/p5imhMJqS1,1185324474775887874,23,2019-10-18 22:39:11,Twitter for iPhone,50746,13862,0.0,0.0
"....He is also my friend! At the same time, I am pleased to nominate Deputy Secretary Dan Brouillette to be the new… https://t.co/Pcc3G5sxtR",1185277957436248065,140,2019-10-18 19:34:21,Twitter for iPhone,44712,9614,0.21,0.53
I want to thank Secretary of Energy Rick Perry for the outstanding job he has done. He will be leaving at the end o… https://t.co/t1P7C4XOq1,1185277956551254018,140,2019-10-18 19:34:20,Twitter for iPhone,57844,12130,0.5,0.88
"Can you believe I am doing this important work for our Country, and have to deal with Corrupt Adam Schiff and the D… https://t.co/a9HvmsXW6O",1185221926991609862,140,2019-10-18 15:51:42,Twitter for iPhone,129578,29887,-0.05,1.0
DEFEAT TERRORISM! https://t.co/8WbnLPgWIK,1185220552254017537,41,2019-10-18 15:46:14,Twitter for iPhone,62831,16421,0.0,0.0
