tweets,id,len,date,source,likes,retweets,polarity,subjectivity
Preach! https://t.co/pgsmD3fTWr,1185061670449582080,31,2019-10-18 05:14:54,Twitter for Android,3,0,0.0,0.0
@tech4luddites Could it be that they're looking to push more price sensitive models in India? Like the A series. Th… https://t.co/IERG2dPV9E,1184718729457717248,140,2019-10-17 06:32:10,Twitter for Android,0,0,0.3,0.7
@anika_gupta @slotterdotter That's actually better for you. The law says that you own whatever you draw unless you… https://t.co/mhua6ZZoDh,1182970135599927296,139,2019-10-12 10:43:53,Twitter for Android,1,0,0.55,0.75
Yeah and it's quite simple to do legal documentation wise as well. https://t.co/8knm6AnxuB,1182969021957697537,90,2019-10-12 10:39:27,Twitter for Android,3,0,0.3,0.49
@anika_gupta @slotterdotter Did you have a contract with them of some sort?,1182968253930323968,75,2019-10-12 10:36:24,Twitter for Android,0,0,0.0,0.0
@Microsoft What is the use case for the Microsoft Surface Duo? #MicrosoftSurface,1179706648417333248,80,2019-10-03 10:35:57,Twitter for Android,0,0,0.0,0.0
@spadjay WhatsApp pls. Might have an itinerary.,1179333949170077697,47,2019-10-02 09:54:59,Twitter for Android,1,0,0.0,0.0
@NirmalSBhansali @bucketlistchase It's time we did away with our indulgence for conflicts. Three sport conflicts be… https://t.co/SFkM87nCL4,1177490585059381248,140,2019-09-27 07:50:06,Twitter for Android,1,0,0.0,0.0
@MallikaKamal True. But also time to make Mukesh cooler now. E cigarette Mukesh should be fun.,1174647588966031360,94,2019-09-19 11:33:03,Twitter for Android,0,0,0.32,0.43
"Better the devil you know, than the devil you don't? https://t.co/X41dQmtRxR",1174643168987557888,76,2019-09-19 11:15:29,Twitter for Android,1,0,0.5,0.5
@vinaykesari In on Yes bank*,1171718703525724160,28,2019-09-11 09:34:43,Twitter for Android,1,0,0.0,0.0
"@vinaykesari So there will be two tech companies in on PayTM. That should be an interesting dynamic, especially if… https://t.co/vddUpvWqXb",1171714576552824832,139,2019-09-11 09:18:19,Twitter for Android,1,0,0.17,0.56
@vinaykesari Is this separate from the PayTM deal?,1171711046131712000,50,2019-09-11 09:04:17,Twitter for Android,0,0,0.0,0.0
@Hyper_aice More CGI Fisher tho. :(,1165334566577426433,35,2019-08-24 18:46:26,Twitter for Android,0,0,0.5,0.5
@urvashi_aneja @tandem_research @on_india @nehaachaudhari,1164450122131881984,57,2019-08-22 08:11:58,Twitter for Android,4,0,0.0,0.0
"RT @SheTriD1: My son just showed me the little movie he made. For 10 years old I think this is amazingly creative, but I am impartial! http…",1164120981037694977,140,2019-08-21 10:24:04,Twitter for Android,0,59999,0.14,0.57
Kashmir is Schroedinger's cat. https://t.co/g9NeEzm5SM,1163778670625878016,54,2019-08-20 11:43:51,Twitter for Android,1,0,0.0,0.0
"RT @clintonjeff: Wow this is huge! 
Oppo (including Realme), Vivo, and Xiaomi have all come together to announce a new cross-brand direct f…",1163333800819957760,140,2019-08-19 06:16:06,Twitter for Android,0,35,0.15,0.55
"RT @spadjay: ""It all started with me scrolling through #CRED""
-A millenial Indian's reply to ""So, how was your day?"". Thread.",1162924954997776385,125,2019-08-18 03:11:30,Twitter for Android,0,65,0.0,0.0
"RT @kinlinglo: Ever since #HongKong's protests began, I often got asked why the city's tycoons have stayed silent.

Today, HK's richest man…",1162243323790159878,140,2019-08-16 06:02:56,Twitter for Android,0,182,0.0,0.1
Have two tickets tonight for Once Upon a Time that I won't be able to use. 10PM PVR Forum. Anyone interested?,1161917474469625856,109,2019-08-15 08:28:07,Twitter for Android,0,0,0.38,0.56
"RT @MeAndVan: WE FOUND HIM!!  A thread 👇👇

After 3000 RTs, 3 news articles, 1 video and thousands of wonderful messages from around the wor…",1161512632135950336,140,2019-08-14 05:39:26,Twitter for Android,0,9443,1.0,1.0
@spadjay @divijualsuspect Tie ins I think?,1161237520585121792,42,2019-08-13 11:26:14,Twitter for Android,0,0,0.0,0.0
@divijualsuspect @spadjay And wouldn't it split the market for each of their apps? Today I have to sign in (and the… https://t.co/CtysuN76Yd,1161204689519517696,140,2019-08-13 09:15:46,Twitter for Android,0,0,0.0,0.0
@spadjay Be careful what you wish for though.,1161201336202850304,45,2019-08-13 09:02:27,Twitter for Android,1,0,-0.1,1.0
@iam_anandv @zainabbawa Is this happening?,1160841210866483205,42,2019-08-12 09:11:26,Twitter for Android,0,0,0.0,0.0
"RT @BleacherReport: She’s automatic with it 🤯

(via @leah_church3)

https://t.co/hC6UMcxPSJ",1160807830951059456,91,2019-08-12 06:58:48,Twitter for Android,0,2304,0.0,0.0
"RT @TradeinTransit: Rahul Pandita, evocative as ever @rahulpandita https://t.co/LLWm4Nkofb",1160775782462971911,90,2019-08-12 04:51:27,Twitter for Android,0,2,0.0,0.0
@lzafeer @arjundm @Apple @Office365 @Microsoft Windows is the future I guess?,1159716763195437057,77,2019-08-09 06:43:17,Twitter for Android,0,0,0.0,0.12
@tech4luddites @TechCrunch Wonder what happened to the regular ban tho. Are Huawei products safe to buy? 🤔,1159180137759330304,106,2019-08-07 19:10:56,Twitter for Android,0,0,0.25,0.29
RT @random_walker: Scientific publishers like Elsevier add zero value and are parasites on taxpayer funded research. How could scientists p…,1159179279336214529,140,2019-08-07 19:07:31,Twitter for Android,0,35,0.0,0.0
@MohapatraHemant @nikhilkumarks Think you'll like this. https://t.co/bOG0SGGNfG,1159177808230244352,79,2019-08-07 19:01:40,Twitter for Android,9,1,0.0,0.0
Arjun has taught him well. https://t.co/0Ut9kfNP0h,1158601054935633920,50,2019-08-06 04:49:51,Twitter for Android,0,0,0.0,0.0
"@jungnay_la Yeah I've seen this stuff before, just why a different setup for Ladakh with no legislature?",1158599137153056768,104,2019-08-06 04:42:14,Twitter for Android,0,0,0.0,0.6
"@YaasEsha Law firms are ""liberal spaces"".",1158299680939229184,41,2019-08-05 08:52:18,Twitter for Android,0,0,0.0,0.0
@gdajey @tetisheri Thanks. Any sources you can point me to?,1158297751521648641,59,2019-08-05 08:44:38,Twitter for Android,0,0,0.2,0.2
