username,mentions_received
@pranesh,8
@MaLawdy,8
@spadjay,5
@vinaykesari,4
@Hyper,4
@life,4
@tetisheri,3
@ZomatoIN,3
@shonottra,3
@NoStance,2
@CB,2
@zomatocare,2
@HavaldarShinde,2
@timesofindia,2
@TOIChennai,2
@tech4luddites,2
@Microsoft,2
@kansmckans,2
@slotterdotter,2
@divijualsuspect,2
@anika,2
@LakersNation,1
@JaroGiesbrecht,1
@tonyparker,1
@sopranoxs,1
@vira,1
@Raptors,1
@NBA,1
@JustinTrudeau,1
@peejaygeorge,1
@YoursLegallyy,1
@Solicolah,1
@stigette,1
@aajtak,1
@jonathanrego,1
@Asfand781,1
@AntDavis23,1
@shohinisengupta,1
@sixthformpoet,1
@RuchiKumar,1
@PoojaPrasanna4,1
@akritigaur,1
@shreyamunot,1
@salonikap,1
@pinthecreep,1
@suchindranbn,1
@adityampaul,1
@MariyaS87,1
@NyaayaIN,1
@Aurgho,1
@Spacekatgal,1
@radi0cure,1
@torproject,1
@SP1DERBOI,1
@achakrava,1
@saffrontrail,1
@adhicutting,1
@everywhereist,1
@free,1
@NitinJkrish,1
@NirmalSBha,1
@MeAndVan,1
@Apple,1
@arjundm,1
@lzafeer,1
@rahulpandita,1
@TradeinTransit,1
@leah,1
@BleacherReport,1
@zainabbawa,1
@iam,1
@kinlinglo,1
@TechCrunch,1
@clintonjeff,1
@SheTriD1,1
@nehaachaudhari,1
@on,1
@tandem,1
@urvashi,1
@MallikaKamal,1
@bucketlistchase,1
@NirmalSBhansali,1
@Office365,1
@random,1
@MichaelSctMoore,1
@nandiniv,1
@MaxBoot,1
@RohdeD,1
@YayaatiJoshi,1
@induviduality,1
@LowAndDry,1
@MalwareJake,1
@stratechery,1
@krishashok,1
@Shrabonti,1
@PedestrianPoet,1
@MohapatraHemant,1
@sahilkini,1
@RohanV,1
@sowmyarao,1
@IndiaAheadNews,1
@ShamsCharania,1
@gdajey,1
@YaasEsha,1
@jungnay,1
@nikhilkumarks,1
@UIDAI,1
